BISCUITqc Depth Distribution - Q40 Bot GC Bases
depth	count
0	44115723
1	67257751
2	69961441
3	52987475
4	31945359
5	16143900
6	7087103
7	2765847
8	978500
9	327460
10	103336
11	33338
12	13350
13	7248
14	4442
15	3356
16	2442
17	1927
18	1462
19	1206
20	913
21	710
22	597
23	597
24	401
25	439
26	353
27	325
28	354
29	352
30	308
31	219
32	183
33	335
34	196
35	186
36	211
37	154
38	165
39	157
40	147
41	178
42	128
43	148
44	92
45	84
46	90
47	99
48	88
49	86
50	83
51	79
52	76
53	58
54	54
55	53
56	68
57	53
58	40
59	80
60	26
61	26
62	21
63	27
64	31
65	28
66	46
67	19
68	34
69	64
70	26
71	12
72	31
73	15
74	26
75	26
76	28
77	16
78	28
79	20
80	22
81	18
82	19
83	6
84	12
85	13
86	13
87	14
88	25
89	14
90	7
91	7
92	20
93	9
94	13
95	9
96	9
97	12
98	6
99	6
100	6
101	8
102	13
103	9
104	15
105	13
106	13
107	13
108	14
109	9
110	16
111	19
112	17
113	16
114	16
115	15
116	10
117	13
118	12
119	8
120	10
121	13
122	17
123	8
124	19
125	12
126	13
127	20
128	10
129	10
130	16
131	10
132	32
133	12
134	7
135	9
136	13
137	15
138	13
139	13
140	13
141	10
142	10
143	8
144	11
145	9
146	15
147	11
148	12
149	9
150	17
151	10
152	13
153	11
154	12
155	17
156	12
157	16
158	9
159	17
160	24
161	15
162	27
163	16
164	16
165	23
166	5
167	12
168	15
169	10
170	8
171	14
172	12
173	12
174	13
175	16
176	9
177	15
178	13
179	8
180	7
181	13
182	20
183	9
184	9
185	13
186	5
187	8
188	12
189	14
190	6
191	7
192	4
193	8
194	8
195	9
196	12
197	4
198	6
199	10
200	8
201	13
202	6
203	6
204	3
205	15
206	8
207	4
208	15
209	12
210	10
211	7
212	8
213	8
214	13
215	8
216	8
217	11
218	7
219	11
220	9
221	6
222	15
223	11
224	2
225	12
226	11
227	6
228	13
229	11
230	11
231	16
232	18
233	14
234	12
235	9
236	8
237	8
238	6
239	8
240	7
241	7
242	7
243	16
244	13
245	8
246	14
247	6
248	15
249	9
250	8
251	5
252	8
